Date/Time,Lat,Lon,Base
09-01-2014 00:01,40.2201,-74.0021,B02512
09-01-2014 00:01,40.75,-74.0027,B02512
09-01-2014 00:03,40.7559,-73.9864,B02512
09-01-2014 00:06,40.745,-73.9889,B02512
09-01-2014 00:11,40.8145,-73.9444,B02512
09-01-2014 00:12,40.6735,-73.9918,B02512
09-01-2014 00:15,40.7471,-73.6472,B02512
09-01-2014 00:16,40.6613,-74.2691,B02512
09-01-2014 00:32,40.3745,-73.9999,B02512
09-01-2014 00:33,40.7633,-73.9773,B02512
09-01-2014 00:33,40.7467,-73.6131,B02512
09-01-2014 00:37,40.8105,-73.96,B02512
09-01-2014 00:38,40.679,-74.0111,B02512
09-01-2014 00:39,40.4023,-73.9839,B02512
09-01-2014 00:48,40.7378,-74.0395,B02512
09-01-2014 00:48,40.7214,-73.9884,B02512
09-01-2014 00:49,40.8646,-73.9081,B02512
09-01-2014 01:08,40.7398,-74.0061,B02512
09-01-2014 01:17,40.6793,-74.0116,B02512
09-01-2014 01:19,40.7328,-73.9875,B02512
09-01-2014 01:39,40.6743,-73.9334,B02512
09-01-2014 01:41,40.7638,-73.9962,B02512
09-01-2014 02:03,40.7638,-73.9811,B02512
09-01-2014 02:13,40.7415,-73.9975,B02512
09-01-2014 02:33,40.7445,-73.9855,B02512
09-01-2014 02:39,40.6614,-73.9409,B02512
09-01-2014 02:41,40.7494,-73.9946,B02512
09-01-2014 03:18,40.7529,-74.004,B02512
09-01-2014 04:01,41.0319,-74.1813,B02512
09-01-2014 04:06,40.7983,-73.9628,B02512
09-01-2014 04:20,40.6932,-73.943,B02512
09-01-2014 04:34,40.707,-74.0045,B02512
09-01-2014 05:02,40.7193,-73.9998,B02512
09-01-2014 05:11,40.7608,-73.9859,B02512
09-01-2014 05:12,40.8293,-73.9432,B02512
09-01-2014 05:16,40.7612,-73.9874,B02512
09-01-2014 05:25,40.7215,-73.9841,B02512
09-01-2014 05:29,40.7778,-73.9888,B02512
09-01-2014 05:45,40.7501,-74.0025,B02512
09-01-2014 05:55,40.7769,-73.9862,B02512
09-01-2014 05:56,40.7499,-73.9717,B02512
09-01-2014 06:04,40.7513,-73.935,B02512
09-01-2014 06:08,40.7291,-73.9813,B02512
09-01-2014 06:14,40.7674,-73.9841,B02512
09-01-2014 06:26,40.7414,-73.9983,B02512
09-01-2014 06:35,40.7685,-73.8626,B02512
09-01-2014 06:43,40.8298,-73.9719,B02512
09-01-2014 06:51,40.6878,-73.9562,B02512
09-01-2014 06:56,40.7686,-73.8626,B02512
09-01-2014 07:01,40.7878,-73.5375,B02512
09-01-2014 07:22,40.7636,-73.9911,B02512
09-01-2014 07:30,40.7364,-73.9966,B02512
09-01-2014 07:33,40.7593,-73.9752,B02512
09-01-2014 07:37,40.7955,-74.2537,B02512
09-01-2014 07:37,40.7303,-73.9998,B02512
09-01-2014 07:41,40.756,-73.9728,B02512
09-01-2014 07:58,40.7558,-73.9764,B02512
09-01-2014 08:05,40.7739,-73.8725,B02512
09-01-2014 08:11,40.6788,-73.9586,B02512
09-01-2014 08:13,40.6897,-73.9724,B02512
09-01-2014 08:19,40.7359,-73.9838,B02512
09-01-2014 08:21,40.7312,-74.0047,B02512
09-01-2014 08:25,40.7255,-74.01,B02512
09-01-2014 08:30,40.7344,-73.9859,B02512
09-01-2014 08:30,40.7878,-73.9537,B02512
09-01-2014 08:34,40.7666,-73.9903,B02512
09-01-2014 08:37,40.751,-74.0337,B02512
09-01-2014 08:40,40.764,-73.9793,B02512
09-01-2014 08:44,40.7173,-73.9499,B02512
09-01-2014 08:45,40.763,-73.9597,B02512
09-01-2014 08:53,40.7553,-73.973,B02512
09-01-2014 08:53,40.6874,-73.998,B02512
09-01-2014 08:57,40.8205,-73.9541,B02512
09-01-2014 08:57,40.7459,-73.9883,B02512
09-01-2014 08:57,40.7798,-74.0089,B02512
09-01-2014 08:59,40.695,-74.178,B02512
09-01-2014 08:59,40.695,-74.178,B02512
09-01-2014 09:04,40.7375,-73.9799,B02512
09-01-2014 09:04,40.722,-73.9882,B02512
09-01-2014 09:05,40.7277,-73.9895,B02512
09-01-2014 09:05,40.7457,-74.0261,B02512
09-01-2014 09:10,40.8449,-73.9371,B02512
09-01-2014 09:10,40.5896,-73.7384,B02512
09-01-2014 09:12,40.7644,-73.9958,B02512
09-01-2014 09:13,40.7275,-74.0386,B02512
09-01-2014 09:14,40.7556,-73.9818,B02512
09-01-2014 09:15,40.7215,-74.0045,B02512
09-01-2014 09:16,40.6917,-73.9425,B02512
09-01-2014 09:17,40.7557,-73.9923,B02512
09-01-2014 09:21,40.7202,-73.9962,B02512
09-01-2014 09:22,40.7324,-73.9971,B02512
09-01-2014 09:23,40.7435,-73.9757,B02512
09-01-2014 09:23,40.7739,-73.8717,B02512
09-01-2014 09:30,40.6211,-73.9903,B02512
09-01-2014 09:34,40.7894,-73.9754,B02512
09-01-2014 09:40,40.756,-73.9734,B02512
09-01-2014 09:40,40.7654,-73.9826,B02512
09-01-2014 09:42,40.7629,-73.9815,B02512
09-01-2014 09:42,40.7587,-73.9843,B02512
09-01-2014 09:43,40.774,-73.8722,B02512
09-01-2014 09:43,40.7868,-74.0096,B02512
09-01-2014 09:44,40.7493,-73.6195,B02512
09-01-2014 09:51,40.752,-73.9772,B02512
09-01-2014 09:54,40.7348,-73.9814,B02512
09-01-2014 09:56,40.7906,-73.9757,B02512
09-01-2014 09:58,40.7621,-73.9744,B02512
09-01-2014 09:58,40.7496,-73.9778,B02512
09-01-2014 10:02,41.016,-73.6678,B02512
09-01-2014 10:02,40.7619,-73.9685,B02512
09-01-2014 10:02,40.7382,-74.0073,B02512
09-01-2014 10:08,40.7555,-73.936,B02512
09-01-2014 10:09,40.6601,-74.1181,B02512
09-01-2014 10:10,40.7694,-73.881,B02512
09-01-2014 10:10,40.7824,-73.4439,B02512
09-01-2014 10:12,40.7587,-73.8918,B02512
09-01-2014 10:13,40.7188,-73.9987,B02512
09-01-2014 10:14,40.6872,-73.9616,B02512
09-01-2014 10:14,40.7667,-73.9973,B02512
09-01-2014 10:17,40.7577,-73.9882,B02512
09-01-2014 10:17,40.7602,-73.9668,B02512
09-01-2014 10:23,40.7272,-74.0061,B02512
09-01-2014 10:24,40.7759,-73.9612,B02512
09-01-2014 10:26,40.708,-74.0061,B02512
09-01-2014 10:28,40.7586,-73.9863,B02512
09-01-2014 10:34,40.7594,-73.9748,B02512
09-01-2014 10:35,40.7785,-73.9813,B02512
09-01-2014 10:37,40.7676,-73.9645,B02512
09-01-2014 10:38,40.7642,-73.886,B02512
09-01-2014 10:39,40.6467,-73.7894,B02512
09-01-2014 10:40,40.777,-73.9792,B02512
09-01-2014 10:42,40.8134,-73.9612,B02512
09-01-2014 10:42,40.7556,-73.9818,B02512
09-01-2014 10:51,40.6784,-73.9272,B02512
09-01-2014 10:52,40.9438,-74.0474,B02512
09-01-2014 10:53,40.7528,-73.9872,B02512
09-01-2014 10:56,40.7577,-73.9747,B02512
09-01-2014 10:57,40.7738,-73.8714,B02512
09-01-2014 10:58,40.7412,-74.006,B02512
09-01-2014 11:01,40.7545,-73.936,B02512
09-01-2014 11:02,40.7634,-73.9656,B02512
09-01-2014 11:02,40.7799,-73.9742,B02512
09-01-2014 11:05,40.7408,-73.9935,B02512
09-01-2014 11:06,40.68,-73.9582,B02512
09-01-2014 11:07,40.7828,-73.9772,B02512
09-01-2014 11:12,40.817,-73.9414,B02512
09-01-2014 11:14,40.762,-73.9742,B02512
09-01-2014 11:18,40.7707,-73.9633,B02512
09-01-2014 11:18,40.7555,-73.9814,B02512
09-01-2014 11:20,40.7688,-74.0192,B02512
09-01-2014 11:20,40.7383,-73.9948,B02512
09-01-2014 11:22,40.7236,-73.9965,B02512
09-01-2014 11:23,40.672,-73.996,B02512
09-01-2014 11:24,40.7249,-74.0354,B02512
09-01-2014 11:24,40.7249,-74.0354,B02512
09-01-2014 11:24,40.7537,-73.9948,B02512
09-01-2014 11:30,40.7652,-73.9797,B02512
09-01-2014 11:31,40.6945,-73.9985,B02512
09-01-2014 11:31,40.7735,-73.9792,B02512
09-01-2014 11:32,40.7528,-73.9852,B02512
09-01-2014 11:33,40.762,-74.0454,B02512
09-01-2014 11:33,40.6447,-73.7824,B02512
09-01-2014 11:36,40.7698,-73.9547,B02512
09-01-2014 11:37,40.7642,-73.9712,B02512
09-01-2014 11:42,40.746,-73.9724,B02512
09-01-2014 11:44,40.7638,-73.8283,B02512
09-01-2014 11:46,40.8054,-73.941,B02512
09-01-2014 11:46,40.7282,-73.9966,B02512
09-01-2014 11:46,40.7252,-73.9506,B02512
09-01-2014 11:46,40.7739,-73.8713,B02512
09-01-2014 11:47,40.7347,-74.0095,B02512
09-01-2014 11:51,40.7831,-73.9743,B02512
09-01-2014 11:52,40.6877,-74.1823,B02512
09-01-2014 11:53,40.6784,-73.9494,B02512
09-01-2014 11:54,40.7384,-73.9998,B02512
09-01-2014 11:57,40.7502,-73.9947,B02512
09-01-2014 11:59,40.7473,-73.9721,B02512
09-01-2014 11:59,40.7461,-73.9821,B02512
09-01-2014 12:01,40.7088,-73.921,B02512
09-01-2014 12:01,40.7179,-74.0146,B02512
09-01-2014 12:05,40.7701,-73.9832,B02512
09-01-2014 12:07,40.7683,-73.9848,B02512
09-01-2014 12:08,40.7496,-73.9834,B02512
09-01-2014 12:10,40.74,-73.9897,B02512
09-01-2014 12:10,40.7625,-73.9756,B02512
09-01-2014 12:11,40.7703,-73.9601,B02512
09-01-2014 12:13,40.7315,-73.9924,B02512
09-01-2014 12:13,40.7187,-73.9987,B02512
09-01-2014 12:13,40.7586,-73.9869,B02512
09-01-2014 12:14,40.7543,-73.9741,B02512
09-01-2014 12:15,40.7253,-73.9872,B02512
09-01-2014 12:17,40.7385,-73.9806,B02512
09-01-2014 12:18,40.7516,-73.977,B02512
09-01-2014 12:18,40.7685,-73.9823,B02512
09-01-2014 12:19,40.7643,-73.9778,B02512
09-01-2014 12:22,40.7753,-73.9634,B02512
09-01-2014 12:23,40.7753,-73.9635,B02512
09-01-2014 12:23,40.7115,-74.0402,B02512
09-01-2014 12:25,40.7356,-73.9896,B02512
09-01-2014 12:26,40.7636,-73.9715,B02512
09-01-2014 12:28,40.7623,-73.9825,B02512
09-01-2014 12:28,40.7738,-73.8722,B02512
09-01-2014 12:29,40.6868,-74.1934,B02512
09-01-2014 12:30,40.7388,-73.996,B02512
09-01-2014 12:30,40.6722,-73.9434,B02512
09-01-2014 12:30,40.7214,-74.0409,B02512
09-01-2014 12:30,40.7214,-74.0409,B02512
09-01-2014 12:31,40.7146,-73.9988,B02512
09-01-2014 12:31,40.7517,-73.9937,B02512
09-01-2014 12:33,40.7397,-73.9872,B02512
09-01-2014 12:35,40.7706,-73.8653,B02512
09-01-2014 12:35,40.7276,-73.9872,B02512
09-01-2014 12:37,40.64,-73.9455,B02512
09-01-2014 12:39,40.8015,-73.969,B02512
09-01-2014 12:40,40.7202,-74.0102,B02512
09-01-2014 12:41,40.7181,-74.0151,B02512
09-01-2014 12:44,40.7705,-73.9668,B02512
09-01-2014 12:47,40.7501,-73.9878,B02512
09-01-2014 12:48,40.7259,-73.9793,B02512
09-01-2014 12:52,40.7749,-73.9885,B02512
09-01-2014 12:52,40.7108,-74.0053,B02512
09-01-2014 12:53,40.7737,-73.9815,B02512
09-01-2014 12:56,40.723,-74.0001,B02512
